file_path,filename,emotion_id,emotion,emotion_idx,intensity,statement,repetition,actor,gender,spectrogram_path
data\raw\ravdess\Actor_01\03-01-01-01-01-01-01.wav,03-01-01-01-01-01-01.wav,1,neutral,0,1,1,1,1,male,data\processed\spectrograms\spec_03-01-01-01-01-01-01.pt
data\raw\ravdess\Actor_01\03-01-01-01-01-02-01.wav,03-01-01-01-01-02-01.wav,1,neutral,0,1,1,2,1,male,data\processed\spectrograms\spec_03-01-01-01-01-02-01.pt
data\raw\ravdess\Actor_01\03-01-01-01-02-01-01.wav,03-01-01-01-02-01-01.wav,1,neutral,0,1,2,1,1,male,data\processed\spectrograms\spec_03-01-01-01-02-01-01.pt
data\raw\ravdess\Actor_01\03-01-01-01-02-02-01.wav,03-01-01-01-02-02-01.wav,1,neutral,0,1,2,2,1,male,data\processed\spectrograms\spec_03-01-01-01-02-02-01.pt
data\raw\ravdess\Actor_01\03-01-03-01-01-01-01.wav,03-01-03-01-01-01-01.wav,3,happy,1,1,1,1,1,male,data\processed\spectrograms\spec_03-01-03-01-01-01-01.pt
data\raw\ravdess\Actor_01\03-01-03-01-01-02-01.wav,03-01-03-01-01-02-01.wav,3,happy,1,1,1,2,1,male,data\processed\spectrograms\spec_03-01-03-01-01-02-01.pt
data\raw\ravdess\Actor_01\03-01-03-01-02-01-01.wav,03-01-03-01-02-01-01.wav,3,happy,1,1,2,1,1,male,data\processed\spectrograms\spec_03-01-03-01-02-01-01.pt
data\raw\ravdess\Actor_01\03-01-03-01-02-02-01.wav,03-01-03-01-02-02-01.wav,3,happy,1,1,2,2,1,male,data\processed\spectrograms\spec_03-01-03-01-02-02-01.pt
data\raw\ravdess\Actor_01\03-01-03-02-01-01-01.wav,03-01-03-02-01-01-01.wav,3,happy,1,2,1,1,1,male,data\processed\spectrograms\spec_03-01-03-02-01-01-01.pt
data\raw\ravdess\Actor_01\03-01-03-02-01-02-01.wav,03-01-03-02-01-02-01.wav,3,happy,1,2,1,2,1,male,data\processed\spectrograms\spec_03-01-03-02-01-02-01.pt
data\raw\ravdess\Actor_01\03-01-03-02-02-01-01.wav,03-01-03-02-02-01-01.wav,3,happy,1,2,2,1,1,male,data\processed\spectrograms\spec_03-01-03-02-02-01-01.pt
data\raw\ravdess\Actor_01\03-01-03-02-02-02-01.wav,03-01-03-02-02-02-01.wav,3,happy,1,2,2,2,1,male,data\processed\spectrograms\spec_03-01-03-02-02-02-01.pt
data\raw\ravdess\Actor_01\03-01-04-01-01-01-01.wav,03-01-04-01-01-01-01.wav,4,sad,2,1,1,1,1,male,data\processed\spectrograms\spec_03-01-04-01-01-01-01.pt
data\raw\ravdess\Actor_01\03-01-04-01-01-02-01.wav,03-01-04-01-01-02-01.wav,4,sad,2,1,1,2,1,male,data\processed\spectrograms\spec_03-01-04-01-01-02-01.pt
data\raw\ravdess\Actor_01\03-01-04-01-02-01-01.wav,03-01-04-01-02-01-01.wav,4,sad,2,1,2,1,1,male,data\processed\spectrograms\spec_03-01-04-01-02-01-01.pt
data\raw\ravdess\Actor_01\03-01-04-01-02-02-01.wav,03-01-04-01-02-02-01.wav,4,sad,2,1,2,2,1,male,data\processed\spectrograms\spec_03-01-04-01-02-02-01.pt
data\raw\ravdess\Actor_01\03-01-04-02-01-01-01.wav,03-01-04-02-01-01-01.wav,4,sad,2,2,1,1,1,male,data\processed\spectrograms\spec_03-01-04-02-01-01-01.pt
data\raw\ravdess\Actor_01\03-01-04-02-01-02-01.wav,03-01-04-02-01-02-01.wav,4,sad,2,2,1,2,1,male,data\processed\spectrograms\spec_03-01-04-02-01-02-01.pt
data\raw\ravdess\Actor_01\03-01-04-02-02-01-01.wav,03-01-04-02-02-01-01.wav,4,sad,2,2,2,1,1,male,data\processed\spectrograms\spec_03-01-04-02-02-01-01.pt
data\raw\ravdess\Actor_01\03-01-04-02-02-02-01.wav,03-01-04-02-02-02-01.wav,4,sad,2,2,2,2,1,male,data\processed\spectrograms\spec_03-01-04-02-02-02-01.pt
data\raw\ravdess\Actor_01\03-01-05-01-01-01-01.wav,03-01-05-01-01-01-01.wav,5,angry,3,1,1,1,1,male,data\processed\spectrograms\spec_03-01-05-01-01-01-01.pt
data\raw\ravdess\Actor_01\03-01-05-01-01-02-01.wav,03-01-05-01-01-02-01.wav,5,angry,3,1,1,2,1,male,data\processed\spectrograms\spec_03-01-05-01-01-02-01.pt
data\raw\ravdess\Actor_01\03-01-05-01-02-01-01.wav,03-01-05-01-02-01-01.wav,5,angry,3,1,2,1,1,male,data\processed\spectrograms\spec_03-01-05-01-02-01-01.pt
data\raw\ravdess\Actor_01\03-01-05-01-02-02-01.wav,03-01-05-01-02-02-01.wav,5,angry,3,1,2,2,1,male,data\processed\spectrograms\spec_03-01-05-01-02-02-01.pt
data\raw\ravdess\Actor_01\03-01-05-02-01-01-01.wav,03-01-05-02-01-01-01.wav,5,angry,3,2,1,1,1,male,data\processed\spectrograms\spec_03-01-05-02-01-01-01.pt
data\raw\ravdess\Actor_01\03-01-05-02-01-02-01.wav,03-01-05-02-01-02-01.wav,5,angry,3,2,1,2,1,male,data\processed\spectrograms\spec_03-01-05-02-01-02-01.pt
data\raw\ravdess\Actor_01\03-01-05-02-02-01-01.wav,03-01-05-02-02-01-01.wav,5,angry,3,2,2,1,1,male,data\processed\spectrograms\spec_03-01-05-02-02-01-01.pt
data\raw\ravdess\Actor_01\03-01-05-02-02-02-01.wav,03-01-05-02-02-02-01.wav,5,angry,3,2,2,2,1,male,data\processed\spectrograms\spec_03-01-05-02-02-02-01.pt
data\raw\ravdess\Actor_03\03-01-01-01-01-01-03.wav,03-01-01-01-01-01-03.wav,1,neutral,0,1,1,1,3,male,data\processed\spectrograms\spec_03-01-01-01-01-01-03.pt
data\raw\ravdess\Actor_03\03-01-01-01-01-02-03.wav,03-01-01-01-01-02-03.wav,1,neutral,0,1,1,2,3,male,data\processed\spectrograms\spec_03-01-01-01-01-02-03.pt
data\raw\ravdess\Actor_03\03-01-01-01-02-01-03.wav,03-01-01-01-02-01-03.wav,1,neutral,0,1,2,1,3,male,data\processed\spectrograms\spec_03-01-01-01-02-01-03.pt
data\raw\ravdess\Actor_03\03-01-01-01-02-02-03.wav,03-01-01-01-02-02-03.wav,1,neutral,0,1,2,2,3,male,data\processed\spectrograms\spec_03-01-01-01-02-02-03.pt
data\raw\ravdess\Actor_03\03-01-03-01-01-01-03.wav,03-01-03-01-01-01-03.wav,3,happy,1,1,1,1,3,male,data\processed\spectrograms\spec_03-01-03-01-01-01-03.pt
data\raw\ravdess\Actor_03\03-01-03-01-01-02-03.wav,03-01-03-01-01-02-03.wav,3,happy,1,1,1,2,3,male,data\processed\spectrograms\spec_03-01-03-01-01-02-03.pt
data\raw\ravdess\Actor_03\03-01-03-01-02-01-03.wav,03-01-03-01-02-01-03.wav,3,happy,1,1,2,1,3,male,data\processed\spectrograms\spec_03-01-03-01-02-01-03.pt
data\raw\ravdess\Actor_03\03-01-03-01-02-02-03.wav,03-01-03-01-02-02-03.wav,3,happy,1,1,2,2,3,male,data\processed\spectrograms\spec_03-01-03-01-02-02-03.pt
data\raw\ravdess\Actor_03\03-01-03-02-01-01-03.wav,03-01-03-02-01-01-03.wav,3,happy,1,2,1,1,3,male,data\processed\spectrograms\spec_03-01-03-02-01-01-03.pt
data\raw\ravdess\Actor_03\03-01-03-02-01-02-03.wav,03-01-03-02-01-02-03.wav,3,happy,1,2,1,2,3,male,data\processed\spectrograms\spec_03-01-03-02-01-02-03.pt
data\raw\ravdess\Actor_03\03-01-03-02-02-01-03.wav,03-01-03-02-02-01-03.wav,3,happy,1,2,2,1,3,male,data\processed\spectrograms\spec_03-01-03-02-02-01-03.pt
data\raw\ravdess\Actor_03\03-01-03-02-02-02-03.wav,03-01-03-02-02-02-03.wav,3,happy,1,2,2,2,3,male,data\processed\spectrograms\spec_03-01-03-02-02-02-03.pt
data\raw\ravdess\Actor_03\03-01-04-01-01-01-03.wav,03-01-04-01-01-01-03.wav,4,sad,2,1,1,1,3,male,data\processed\spectrograms\spec_03-01-04-01-01-01-03.pt
data\raw\ravdess\Actor_03\03-01-04-01-01-02-03.wav,03-01-04-01-01-02-03.wav,4,sad,2,1,1,2,3,male,data\processed\spectrograms\spec_03-01-04-01-01-02-03.pt
data\raw\ravdess\Actor_03\03-01-04-01-02-01-03.wav,03-01-04-01-02-01-03.wav,4,sad,2,1,2,1,3,male,data\processed\spectrograms\spec_03-01-04-01-02-01-03.pt
data\raw\ravdess\Actor_03\03-01-04-01-02-02-03.wav,03-01-04-01-02-02-03.wav,4,sad,2,1,2,2,3,male,data\processed\spectrograms\spec_03-01-04-01-02-02-03.pt
data\raw\ravdess\Actor_03\03-01-04-02-01-01-03.wav,03-01-04-02-01-01-03.wav,4,sad,2,2,1,1,3,male,data\processed\spectrograms\spec_03-01-04-02-01-01-03.pt
data\raw\ravdess\Actor_03\03-01-04-02-01-02-03.wav,03-01-04-02-01-02-03.wav,4,sad,2,2,1,2,3,male,data\processed\spectrograms\spec_03-01-04-02-01-02-03.pt
data\raw\ravdess\Actor_03\03-01-04-02-02-01-03.wav,03-01-04-02-02-01-03.wav,4,sad,2,2,2,1,3,male,data\processed\spectrograms\spec_03-01-04-02-02-01-03.pt
data\raw\ravdess\Actor_03\03-01-04-02-02-02-03.wav,03-01-04-02-02-02-03.wav,4,sad,2,2,2,2,3,male,data\processed\spectrograms\spec_03-01-04-02-02-02-03.pt
data\raw\ravdess\Actor_03\03-01-05-01-01-01-03.wav,03-01-05-01-01-01-03.wav,5,angry,3,1,1,1,3,male,data\processed\spectrograms\spec_03-01-05-01-01-01-03.pt
data\raw\ravdess\Actor_03\03-01-05-01-01-02-03.wav,03-01-05-01-01-02-03.wav,5,angry,3,1,1,2,3,male,data\processed\spectrograms\spec_03-01-05-01-01-02-03.pt
data\raw\ravdess\Actor_03\03-01-05-01-02-01-03.wav,03-01-05-01-02-01-03.wav,5,angry,3,1,2,1,3,male,data\processed\spectrograms\spec_03-01-05-01-02-01-03.pt
data\raw\ravdess\Actor_03\03-01-05-01-02-02-03.wav,03-01-05-01-02-02-03.wav,5,angry,3,1,2,2,3,male,data\processed\spectrograms\spec_03-01-05-01-02-02-03.pt
data\raw\ravdess\Actor_03\03-01-05-02-01-01-03.wav,03-01-05-02-01-01-03.wav,5,angry,3,2,1,1,3,male,data\processed\spectrograms\spec_03-01-05-02-01-01-03.pt
data\raw\ravdess\Actor_03\03-01-05-02-01-02-03.wav,03-01-05-02-01-02-03.wav,5,angry,3,2,1,2,3,male,data\processed\spectrograms\spec_03-01-05-02-01-02-03.pt
data\raw\ravdess\Actor_03\03-01-05-02-02-01-03.wav,03-01-05-02-02-01-03.wav,5,angry,3,2,2,1,3,male,data\processed\spectrograms\spec_03-01-05-02-02-01-03.pt
data\raw\ravdess\Actor_03\03-01-05-02-02-02-03.wav,03-01-05-02-02-02-03.wav,5,angry,3,2,2,2,3,male,data\processed\spectrograms\spec_03-01-05-02-02-02-03.pt
data\raw\ravdess\Actor_04\03-01-01-01-01-01-04.wav,03-01-01-01-01-01-04.wav,1,neutral,0,1,1,1,4,female,data\processed\spectrograms\spec_03-01-01-01-01-01-04.pt
data\raw\ravdess\Actor_04\03-01-01-01-01-02-04.wav,03-01-01-01-01-02-04.wav,1,neutral,0,1,1,2,4,female,data\processed\spectrograms\spec_03-01-01-01-01-02-04.pt
data\raw\ravdess\Actor_04\03-01-01-01-02-01-04.wav,03-01-01-01-02-01-04.wav,1,neutral,0,1,2,1,4,female,data\processed\spectrograms\spec_03-01-01-01-02-01-04.pt
data\raw\ravdess\Actor_04\03-01-01-01-02-02-04.wav,03-01-01-01-02-02-04.wav,1,neutral,0,1,2,2,4,female,data\processed\spectrograms\spec_03-01-01-01-02-02-04.pt
data\raw\ravdess\Actor_04\03-01-03-01-01-01-04.wav,03-01-03-01-01-01-04.wav,3,happy,1,1,1,1,4,female,data\processed\spectrograms\spec_03-01-03-01-01-01-04.pt
data\raw\ravdess\Actor_04\03-01-03-01-01-02-04.wav,03-01-03-01-01-02-04.wav,3,happy,1,1,1,2,4,female,data\processed\spectrograms\spec_03-01-03-01-01-02-04.pt
data\raw\ravdess\Actor_04\03-01-03-01-02-01-04.wav,03-01-03-01-02-01-04.wav,3,happy,1,1,2,1,4,female,data\processed\spectrograms\spec_03-01-03-01-02-01-04.pt
data\raw\ravdess\Actor_04\03-01-03-01-02-02-04.wav,03-01-03-01-02-02-04.wav,3,happy,1,1,2,2,4,female,data\processed\spectrograms\spec_03-01-03-01-02-02-04.pt
data\raw\ravdess\Actor_04\03-01-03-02-01-01-04.wav,03-01-03-02-01-01-04.wav,3,happy,1,2,1,1,4,female,data\processed\spectrograms\spec_03-01-03-02-01-01-04.pt
data\raw\ravdess\Actor_04\03-01-03-02-01-02-04.wav,03-01-03-02-01-02-04.wav,3,happy,1,2,1,2,4,female,data\processed\spectrograms\spec_03-01-03-02-01-02-04.pt
data\raw\ravdess\Actor_04\03-01-03-02-02-01-04.wav,03-01-03-02-02-01-04.wav,3,happy,1,2,2,1,4,female,data\processed\spectrograms\spec_03-01-03-02-02-01-04.pt
data\raw\ravdess\Actor_04\03-01-03-02-02-02-04.wav,03-01-03-02-02-02-04.wav,3,happy,1,2,2,2,4,female,data\processed\spectrograms\spec_03-01-03-02-02-02-04.pt
data\raw\ravdess\Actor_04\03-01-04-01-01-01-04.wav,03-01-04-01-01-01-04.wav,4,sad,2,1,1,1,4,female,data\processed\spectrograms\spec_03-01-04-01-01-01-04.pt
data\raw\ravdess\Actor_04\03-01-04-01-01-02-04.wav,03-01-04-01-01-02-04.wav,4,sad,2,1,1,2,4,female,data\processed\spectrograms\spec_03-01-04-01-01-02-04.pt
data\raw\ravdess\Actor_04\03-01-04-01-02-01-04.wav,03-01-04-01-02-01-04.wav,4,sad,2,1,2,1,4,female,data\processed\spectrograms\spec_03-01-04-01-02-01-04.pt
data\raw\ravdess\Actor_04\03-01-04-01-02-02-04.wav,03-01-04-01-02-02-04.wav,4,sad,2,1,2,2,4,female,data\processed\spectrograms\spec_03-01-04-01-02-02-04.pt
data\raw\ravdess\Actor_04\03-01-04-02-01-01-04.wav,03-01-04-02-01-01-04.wav,4,sad,2,2,1,1,4,female,data\processed\spectrograms\spec_03-01-04-02-01-01-04.pt
data\raw\ravdess\Actor_04\03-01-04-02-01-02-04.wav,03-01-04-02-01-02-04.wav,4,sad,2,2,1,2,4,female,data\processed\spectrograms\spec_03-01-04-02-01-02-04.pt
data\raw\ravdess\Actor_04\03-01-04-02-02-01-04.wav,03-01-04-02-02-01-04.wav,4,sad,2,2,2,1,4,female,data\processed\spectrograms\spec_03-01-04-02-02-01-04.pt
data\raw\ravdess\Actor_04\03-01-04-02-02-02-04.wav,03-01-04-02-02-02-04.wav,4,sad,2,2,2,2,4,female,data\processed\spectrograms\spec_03-01-04-02-02-02-04.pt
data\raw\ravdess\Actor_04\03-01-05-01-01-01-04.wav,03-01-05-01-01-01-04.wav,5,angry,3,1,1,1,4,female,data\processed\spectrograms\spec_03-01-05-01-01-01-04.pt
data\raw\ravdess\Actor_04\03-01-05-01-01-02-04.wav,03-01-05-01-01-02-04.wav,5,angry,3,1,1,2,4,female,data\processed\spectrograms\spec_03-01-05-01-01-02-04.pt
data\raw\ravdess\Actor_04\03-01-05-01-02-01-04.wav,03-01-05-01-02-01-04.wav,5,angry,3,1,2,1,4,female,data\processed\spectrograms\spec_03-01-05-01-02-01-04.pt
data\raw\ravdess\Actor_04\03-01-05-01-02-02-04.wav,03-01-05-01-02-02-04.wav,5,angry,3,1,2,2,4,female,data\processed\spectrograms\spec_03-01-05-01-02-02-04.pt
data\raw\ravdess\Actor_04\03-01-05-02-01-01-04.wav,03-01-05-02-01-01-04.wav,5,angry,3,2,1,1,4,female,data\processed\spectrograms\spec_03-01-05-02-01-01-04.pt
data\raw\ravdess\Actor_04\03-01-05-02-01-02-04.wav,03-01-05-02-01-02-04.wav,5,angry,3,2,1,2,4,female,data\processed\spectrograms\spec_03-01-05-02-01-02-04.pt
data\raw\ravdess\Actor_04\03-01-05-02-02-01-04.wav,03-01-05-02-02-01-04.wav,5,angry,3,2,2,1,4,female,data\processed\spectrograms\spec_03-01-05-02-02-01-04.pt
data\raw\ravdess\Actor_04\03-01-05-02-02-02-04.wav,03-01-05-02-02-02-04.wav,5,angry,3,2,2,2,4,female,data\processed\spectrograms\spec_03-01-05-02-02-02-04.pt
data\raw\ravdess\Actor_05\03-01-01-01-01-01-05.wav,03-01-01-01-01-01-05.wav,1,neutral,0,1,1,1,5,male,data\processed\spectrograms\spec_03-01-01-01-01-01-05.pt
data\raw\ravdess\Actor_05\03-01-01-01-01-02-05.wav,03-01-01-01-01-02-05.wav,1,neutral,0,1,1,2,5,male,data\processed\spectrograms\spec_03-01-01-01-01-02-05.pt
data\raw\ravdess\Actor_05\03-01-01-01-02-01-05.wav,03-01-01-01-02-01-05.wav,1,neutral,0,1,2,1,5,male,data\processed\spectrograms\spec_03-01-01-01-02-01-05.pt
data\raw\ravdess\Actor_05\03-01-01-01-02-02-05.wav,03-01-01-01-02-02-05.wav,1,neutral,0,1,2,2,5,male,data\processed\spectrograms\spec_03-01-01-01-02-02-05.pt
data\raw\ravdess\Actor_05\03-01-03-01-01-01-05.wav,03-01-03-01-01-01-05.wav,3,happy,1,1,1,1,5,male,data\processed\spectrograms\spec_03-01-03-01-01-01-05.pt
data\raw\ravdess\Actor_05\03-01-03-01-01-02-05.wav,03-01-03-01-01-02-05.wav,3,happy,1,1,1,2,5,male,data\processed\spectrograms\spec_03-01-03-01-01-02-05.pt
data\raw\ravdess\Actor_05\03-01-03-01-02-01-05.wav,03-01-03-01-02-01-05.wav,3,happy,1,1,2,1,5,male,data\processed\spectrograms\spec_03-01-03-01-02-01-05.pt
data\raw\ravdess\Actor_05\03-01-03-01-02-02-05.wav,03-01-03-01-02-02-05.wav,3,happy,1,1,2,2,5,male,data\processed\spectrograms\spec_03-01-03-01-02-02-05.pt
data\raw\ravdess\Actor_05\03-01-03-02-01-01-05.wav,03-01-03-02-01-01-05.wav,3,happy,1,2,1,1,5,male,data\processed\spectrograms\spec_03-01-03-02-01-01-05.pt
data\raw\ravdess\Actor_05\03-01-03-02-01-02-05.wav,03-01-03-02-01-02-05.wav,3,happy,1,2,1,2,5,male,data\processed\spectrograms\spec_03-01-03-02-01-02-05.pt
data\raw\ravdess\Actor_05\03-01-03-02-02-01-05.wav,03-01-03-02-02-01-05.wav,3,happy,1,2,2,1,5,male,data\processed\spectrograms\spec_03-01-03-02-02-01-05.pt
data\raw\ravdess\Actor_05\03-01-03-02-02-02-05.wav,03-01-03-02-02-02-05.wav,3,happy,1,2,2,2,5,male,data\processed\spectrograms\spec_03-01-03-02-02-02-05.pt
data\raw\ravdess\Actor_05\03-01-04-01-01-01-05.wav,03-01-04-01-01-01-05.wav,4,sad,2,1,1,1,5,male,data\processed\spectrograms\spec_03-01-04-01-01-01-05.pt
data\raw\ravdess\Actor_05\03-01-04-01-01-02-05.wav,03-01-04-01-01-02-05.wav,4,sad,2,1,1,2,5,male,data\processed\spectrograms\spec_03-01-04-01-01-02-05.pt
data\raw\ravdess\Actor_05\03-01-04-01-02-01-05.wav,03-01-04-01-02-01-05.wav,4,sad,2,1,2,1,5,male,data\processed\spectrograms\spec_03-01-04-01-02-01-05.pt
data\raw\ravdess\Actor_05\03-01-04-01-02-02-05.wav,03-01-04-01-02-02-05.wav,4,sad,2,1,2,2,5,male,data\processed\spectrograms\spec_03-01-04-01-02-02-05.pt
data\raw\ravdess\Actor_05\03-01-04-02-01-01-05.wav,03-01-04-02-01-01-05.wav,4,sad,2,2,1,1,5,male,data\processed\spectrograms\spec_03-01-04-02-01-01-05.pt
data\raw\ravdess\Actor_05\03-01-04-02-01-02-05.wav,03-01-04-02-01-02-05.wav,4,sad,2,2,1,2,5,male,data\processed\spectrograms\spec_03-01-04-02-01-02-05.pt
data\raw\ravdess\Actor_05\03-01-04-02-02-01-05.wav,03-01-04-02-02-01-05.wav,4,sad,2,2,2,1,5,male,data\processed\spectrograms\spec_03-01-04-02-02-01-05.pt
data\raw\ravdess\Actor_05\03-01-04-02-02-02-05.wav,03-01-04-02-02-02-05.wav,4,sad,2,2,2,2,5,male,data\processed\spectrograms\spec_03-01-04-02-02-02-05.pt
data\raw\ravdess\Actor_05\03-01-05-01-01-01-05.wav,03-01-05-01-01-01-05.wav,5,angry,3,1,1,1,5,male,data\processed\spectrograms\spec_03-01-05-01-01-01-05.pt
data\raw\ravdess\Actor_05\03-01-05-01-01-02-05.wav,03-01-05-01-01-02-05.wav,5,angry,3,1,1,2,5,male,data\processed\spectrograms\spec_03-01-05-01-01-02-05.pt
data\raw\ravdess\Actor_05\03-01-05-01-02-01-05.wav,03-01-05-01-02-01-05.wav,5,angry,3,1,2,1,5,male,data\processed\spectrograms\spec_03-01-05-01-02-01-05.pt
data\raw\ravdess\Actor_05\03-01-05-01-02-02-05.wav,03-01-05-01-02-02-05.wav,5,angry,3,1,2,2,5,male,data\processed\spectrograms\spec_03-01-05-01-02-02-05.pt
data\raw\ravdess\Actor_05\03-01-05-02-01-01-05.wav,03-01-05-02-01-01-05.wav,5,angry,3,2,1,1,5,male,data\processed\spectrograms\spec_03-01-05-02-01-01-05.pt
data\raw\ravdess\Actor_05\03-01-05-02-01-02-05.wav,03-01-05-02-01-02-05.wav,5,angry,3,2,1,2,5,male,data\processed\spectrograms\spec_03-01-05-02-01-02-05.pt
data\raw\ravdess\Actor_05\03-01-05-02-02-01-05.wav,03-01-05-02-02-01-05.wav,5,angry,3,2,2,1,5,male,data\processed\spectrograms\spec_03-01-05-02-02-01-05.pt
data\raw\ravdess\Actor_05\03-01-05-02-02-02-05.wav,03-01-05-02-02-02-05.wav,5,angry,3,2,2,2,5,male,data\processed\spectrograms\spec_03-01-05-02-02-02-05.pt
